experience_id,experience_name,Area,Possible Area Nicknames in Production,Shifts logic
5b58a24fc481e1a2168b456a,Virtual Escape the Aliens,1,Aliens,1
5b58a277c381e1a3328b4572,Sherlock Inc.,2,Sherlock,1
5b649b6cc681e17b568b4649,Escape the Asylum,3,Asylum,1
5b649f7ec581e1c1738b463f,Virtual Escape the Mad Hatter,4,Mad Hatter,1
5b744ecdc681e170208b4596,Escape the Asylum: Team B,3,Asylum,1
5b744ed1332e755e378b45af,Escape the Asylum: Team C,3,Asylum,1
5b744ed5c581e17d248b459a,Escape the Asylum: Team D,3,Asylum,1
5b8856256864ead60e8b456d,Escape the Mad Hatter - On Site,4,Mad Hatter,1
5b885629332e75f4418b4569,Escape the Mad Hatter - Team C,4,Mad Hatter,1
5b88562d6864eab80c8b457a,Escape the Mad Hatter - Team D,4,Mad Hatter,1
5ebaef0a2cb689074d539fc9,Online Office Olympics,5,"OOO, Office Olympics, Game Night",25
5ec6e4ac20142903516ca0c2,Online Office Olympics 2,5,"OOO, Office Olympics, Game Night",25
5ec6f5b61e648f4276575b2c,Online Office Olympics 3,5,"OOO, Office Olympics, Game Night",25
5ee2599878ecf266f63f92c0,Sherlock Holmes Murder Mystery,6,SHMM,20
5ee25b3a7d602907356821b3,Virtual Paint Night 2,7,"Paint Night, VPN",1
5ee25be94f17a46ddc141a10,Virtual Paint Night,7,"Paint Night, VPN",1
5ee91cb03e211978254fe0e0,Online Game Night,5,"OOO, Office Olympics, Game Night",25
5eed4b48f4a5764adc2014c7,Escape The Aliens - Onsite,1,Aliens,1
5f5964b19fba432827625f88,Virtual Paint Night 3,7,"Paint Night, VPN",1
5f6d20cf0f39085ee84f15dd,Office Olympics Demo - 30 Min,8,Testing,1
5f860735b4b79c192573179e,Virtual Paint Night - No Kit,7,"Paint Night, VPN",1
5f9072ffd30c3f1fb1057f6b,Remote Team Trivia,8,Testing,1
5f90eec5d7f76a054e5dd8d3,Sherlock Holmes: Murder Mystery 2,6,SHMM,20
5fae0d619897863586435a13,Thriver - Online Office Olympics,5,"OOO, Office Olympics, Game Night",25
5fae0e4b09cf2f2a24275206,Thriver - Sherlock Holmes Murder Mystery,6,SHMM,20
5fae0ef4b4de911d5a3c00e2,Thriver - VPN,7,"Paint Night, VPN",1
5fae0f8a3ff5ef142b16e192,Thriver - VPN - No Kit,7,"Paint Night, VPN",1
5fb2e01a64217072b94eaeee,Thriver - Online Office Olympics 2,5,"OOO, Office Olympics, Game Night",25
5fb2e02ee3b5c804e91dbc87,Thriver - Sherlock Holmes Murder Mystery 2,6,SHMM,20
5fb2e040dbdf6f0c200c617f,Thriver - VPN 2,7,"Paint Night, VPN",1
